Strain,Population,Time_Point
KRP1_SE046_G27_cluster_2_Blue,Blue,SE046
KRP1_SE046_G26_cluster_1_Blue,Blue,SE046
KRP1_SE046_G10_cluster_1_Blue,Blue,SE046
KRP1_SE046_G11_cluster_3_Blue,Blue,SE046
KRP1_SE058_G67_cluster_2_Blue,Blue,SE058
KRP1_SE046_G06_cluster_2_Blue,Blue,SE046
KRP1_SE046_G05_cluster_2_Blue,Blue,SE046
KRP1_SE046_G07_cluster_2_Blue,Blue,SE046
KRP1_SE055_G09_cluster_3_sulfuri,sulfuri,SE055
KRP1_SE055_G02_cluster_2_sulfuri,sulfuri,SE055
KRP2_SE053_G39_cluster_2_sulfuri,sulfuri,SE053
KRP2B_SE057_G54_cluster_2_sulfuri,sulfuri,SE057
KRP1_SE057_G12_cluster_2_sulfuri,sulfuri,SE057
KRP2B_SE057_G56_cluster_3_sulfuri,sulfuri,SE057
KRP1_SE046_G04_cluster_2_Blue,Blue,SE046
KRP2B_SE057_G49_cluster_3_sulfuri,sulfuri,SE057
KRP2_SE053_G37_cluster_2_sulfuri,sulfuri,SE053
KRP1_SE046_G12_cluster_3_Blue,Blue,SE046
KRP2_SE053_G44_cluster_2_sulfuri,sulfuri,SE053
KRP1_SE046_G13_cluster_1_Blue,Blue,SE046
KRP2B_SE057_G50_cluster_3_sulfuri,sulfuri,SE057
KRP1_SE055_G12_cluster_2_cluster_3_sulfuri,sulfuri,SE055
KRP1_SE055_G05_cluster_3_sulfuri,sulfuri,SE055
KRP2B_SE057_G57_cluster_3_sulfuri,sulfuri,SE057
KRP2B_SE057_G51_cluster_3_sulfuri,sulfuri,SE057
KRP1_SE046_G02_cluster_3_Blue,Blue,SE046
KRP1_SE053_G27_cluster_3_sulfuri,sulfuri,SE053
KRP1_SE055_G06_cluster_2_sulfuri,sulfuri,SE055
KRP1_SE057_G07_cluster_2_sulfuri,sulfuri,SE057
KRP2B_SE055_G24_cluster_3_sulfuri,sulfuri,SE055
KRP2_SE053_G36_cluster_2_sulfuri,sulfuri,SE053
KRP2B_SE057_G52_cluster_2_sulfuri,sulfuri,SE057
KRP2B_SE057_G53_cluster_2_sulfuri,sulfuri,SE057
KRP1_SE057_G10_cluster_1_sulfuri,sulfuri,SE057
KRP1_SE046_G08_cluster_1_Blue,Blue,SE046
KRP1_SE046_G01_cluster_3_Blue,Blue,SE046
KRP1_SE046_G25_cluster_3_Blue,Blue,SE046
KRP1_SE046_G23_cluster_1_Blue,Blue,SE046
KRP1_SE046_G22_cluster_2_Blue,Blue,SE046
KRP2B_SE058_G156_cluster_3_Blue,Blue,SE058
KRP2B_SE058_G151_cluster_3_Blue,Blue,SE058
KRP2_SE046_G28_cluster_2_Blue,Blue,SE046
KRP1_SE058_G127_cluster_1_Orange,Orange,SE058
KRP1_SE058_G130_cluster_1_Orange,Orange,SE058
KRP1_SE058_G132_cluster_2_Orange,Orange,SE058
KRP1_SE058_G121_cluster_1_Orange,Orange,SE058
KRP1_SE058_G175_cluster_1_Orange,Orange,SE058
KRP1_SE058_G128_cluster_2_Orange,Orange,SE058
KRP1_SE058_G174_cluster_2_Orange,Orange,SE058
KRP1_SE058_G129_cluster_2_Orange,Orange,SE058
KRP1_SE058_G125_cluster_2_Orange,Orange,SE058
KRP1_SE058_G122_cluster_2_Orange,Orange,SE058
KRP1_SE058_G131_cluster_1_Orange,Orange,SE058
KRP1_SE058_G173_cluster_1_Orange,Orange,SE058
KRP1_SE058_G176_cluster_4_Orange,Orange,SE058
KRP1_SE058_G54_cluster_3_Orange,Orange,SE058
KRP1_SE058_G50_cluster_3_Orange,Orange,SE058
KRP1_SE058_G59_cluster_3_Orange,Orange,SE058
KRP2_SE046_G29_cluster_1_Orange,Orange,SE046
KRP1_SE058_G49_cluster_3_Orange,Orange,SE058
KRP1_SE058_G52_cluster_3_Orange,Orange,SE058
KRP1_SE058_G55_cluster_3_Orange,Orange,SE058
KRP1_SE058_G51_cluster_1_Orange,Orange,SE058
KRP2_SE057_G42_cluster_2_Orange,Orange,SE057
KRP2_SE058_G137_cluster_1_Orange,Orange,SE058
KRP2_SE058_G136_cluster_2_Orange,Orange,SE058
KRP2_SE046_G18_cluster_2_Orange,Orange,SE046
KRP2_SE058_G142_cluster_2_Orange,Orange,SE058
KRP2_SE058_G143_cluster_2_Orange,Orange,SE058
KRP2_SE058_G144_cluster_1_Orange,Orange,SE058
KRP2_SE058_G133_cluster_2_Orange,Orange,SE058
KRP2_SE046_G21_cluster_1_Orange,Orange,SE046
KRP2_SE046_G20_cluster_2_Orange,Orange,SE046
KRP2_SE046_G16_cluster_2_Orange,Orange,SE046
KRP2_SE058_G135_cluster_2_Orange,Orange,SE058
KRP2_SE058_G140_cluster_2_Orange,Orange,SE058
KRP2_SE046_G17_cluster_2_Orange,Orange,SE046
KRP2_SE058_G134_cluster_2_Orange,Orange,SE058
KRP2_SE058_G141_cluster_2_Orange,Orange,SE058
KRP2_SE046_G15_cluster_2_Orange,Orange,SE046
KRP2_SE058_G138_cluster_2_Orange,Orange,SE058
KRP2B_SE055_G15_cluster_1_Orange,Orange,SE055
KRP2B_SE055_G18_cluster_2_Orange,Orange,SE055
KRP1_SE055_G05_cluster_4_Orange,Orange,SE055
KRP1_SE055_G09_cluster_2_Orange,Orange,SE055
KRP2B_SE055_G20_cluster_2_Orange,Orange,SE055
KRP2B_SE055_G17_cluster_1_Orange,Orange,SE055
KRP1_SE055_G12_cluster_1_Orange,Orange,SE055
KRP2B_SE055_G24_cluster_2_Orange,Orange,SE055
KRP2B_SE055_G22_cluster_1_Orange,Orange,SE055
KRP1_SE055_G10_cluster_1_Orange,Orange,SE055
KRP1_SE055_G08_cluster_3_Orange,Orange,SE055
KRP1_SE055_G01_cluster_2_cluster_2_Orange,Orange,SE055
KRP1_SE055_G02_cluster_1_Orange,Orange,SE055
KRP1_SE055_G06_cluster_1_Orange,Orange,SE055
KRP1_SE058_G174_cluster_3_Green,Green,SE058
KRP2_SE046_G30_cluster_2_Green,Green,SE046
KRP2B_SE058_G111_cluster_1_Green,Green,SE058
KRP2B_SE058_G120_cluster_2_Green,Green,SE058
KRP1_SE058_G55_cluster_1_Green,Green,SE058
KRP2B_SE058_G116_cluster_2_Green,Green,SE058
KRP1_SE058_G49_cluster_2_Green,Green,SE058
KRP1_SE058_G60_cluster_2_Green,Green,SE058
KRP1_SE055_G10_cluster_2_Green,Green,SE055
KRP1_SE058_G176_cluster_3_veneni,veneni,SE058
KRP1_SE058_G56_cluster_1_Green,Green,SE058
KRP2B_SE058_G109_cluster_1_Green,Green,SE058
KRP1_SE058_G176_cluster_2_Green,Green,SE058
KRP2B_SE058_G118_cluster_1_Green,Green,SE058
KRP1_SE058_G51_cluster_2_Green,Green,SE058
KRP1_SE058_G59_cluster_2_Green,Green,SE058
KRP2B_SE058_G112_cluster_2_Green,Green,SE058
KRP2B_SE058_G110_cluster_2_Green,Green,SE058
KRP2B_SE055_G20_cluster_1_Green,Green,SE055
KRP1_SE058_G173_cluster_2_veneni,veneni,SE058
KRP1_SE058_G57_cluster_1_Green,Green,SE058
KRP2B_SE055_G33_cluster_2_Green,Green,SE055
KRP1_SE058_G54_cluster_1_Green,Green,SE058
KRP2B_SE058_G103_cluster_3_Green,Green,SE058
KRP1_SE055_G12_cluster_2_cluster_1_Green,Green,SE055
KRP1_SE058_G52_cluster_1_Green,Green,SE058
KRP2B_SE058_G113_cluster_1_Green,Green,SE058
KRP2B_SE058_G117_cluster_1_Green,Green,SE058
KRP2B_SE058_G119_cluster_2_Green,Green,SE058
KRP1_SE046_G25_cluster_1_Green,Green,SE046
KRP1_SE058_G173_cluster_4_Green,Green,SE058
KRP2_SE057_G48_cluster_2_Green,Green,SE057
KRP2B_SE055_G32_cluster_2_Green,Green,SE055
KRP2B_SE055_G15_cluster_3_Green,Green,SE055
KRP1_SE058_G175_cluster_2_Green,Green,SE058
KRP1_SE058_G53_cluster_1_Green,Green,SE058
KRP2B_SE058_G114_cluster_2_Green,Green,SE058
KRP1_SE058_G50_cluster_1_Green,Green,SE058
KRP1_SE057_G03_cluster_1_veneni,veneni,SE057
KRP1_Sub_SE057_G72_cluster_2_veneni,veneni,SE057
KRP1_SE057_G10_cluster_2_veneni,veneni,SE057
KRP1_SE057_G07_cluster_1_veneni,veneni,SE057
KRP1_Sub_SE057_G71_cluster_2_veneni,veneni,SE057
KRP1_SE057_G05_cluster_2_veneni,veneni,SE057
KRP2B_SE058_G108_cluster_1_veneni,veneni,SE058
KRP2B_SE058_G103_cluster_2_veneni,veneni,SE058
KRP2B_SE058_G101_cluster_2_veneni,veneni,SE058
KRP2B_SE058_G107_cluster_1_veneni,veneni,SE058
KRP2B_SE058_G102_cluster_3_veneni,veneni,SE058
KRP2B_SE058_G100_cluster_1_veneni,veneni,SE058
KRP1_Sub_SE057_G76_cluster_2_Yellow,Yellow,SE057
KRP2_SE057_G28_cluster_3_Yellow,Yellow,SE057
KRP2_SE057_G34_cluster_1_Yellow,Yellow,SE057
KRP2_SE057_G31_cluster_2_Yellow,Yellow,SE057
KRP2_SE057_G27_cluster_2_Yellow,Yellow,SE057
KRP1_SE057_G23_cluster_1_Yellow,Yellow,SE057
KRP1_Sub_SE057_G83_cluster_3_Yellow,Yellow,SE057
KRP1_SE057_G17_cluster_1_Yellow,Yellow,SE057
KRP2_SE057_G30_cluster_2_Yellow,Yellow,SE057
KRP1_SE057_G82_cluster_1_Yellow,Yellow,SE057
